aboutWhatIsInMalbankinnContent				Íslenski málbankinn býður upp á mikið úrval texta- og talmálheilda og verkfæri til að vinna með málheildirnar og nýta í rannsóknir á sviði hug- og félagsvísinda. Einnig inniheldur málbankinn ýmsar orðabækur og -lista sem nýta má til að þróa lausnir á sviði tungumála og líkön, orðalista, prófunargögn, tól og annað sem gagnast við þróun máltæknilausna . Allar afurðir máltæknáætlunar stjórnvalda eru aðgengilegar í málbankanum. Málbankinn miðlar einnig upplýsingum um námsefni og námskeið sem tengjast stafrænni hugvísindum og máltækni.	Íslenski málbankinn býður upp á mikið úrval <a href='/is/leit?subTypes=Corpora'>texta- og talmálheilda</a> og <a href='/is/verkfaeri'>verkfæri</a> til að vinna með málheildirnar og nýta í rannsóknir á sviði hug- og félagsvísinda. Einnig inniheldur málbankinn <a href='/is/ordalistar'>ýmsar orðabækur og -lista</a> sem nýta má til að þróa lausnir á sviði tungumála og líkön, orðalista, prófunargögn, tól og annað sem gagnast við þróun <a href='/is/maltaeknilausnir'>máltæknilausna</a>. Allar afurðir <a href='/is/maltaekniaetlun'>máltæknáætlunar stjórnvalda</a> eru aðgengilegar í málbankanum. Málbankinn miðlar einnig <a href='/is/nams_og_kennsluefni'>upplýsingum um námsefni og námskeið</a> sem tengjast stafrænni hugvísindum og máltækni.	
aboutWhoCanUseTitle				Hverjir geta notað Málbankann?	Hverjir geta notað Málbankann?	
aboutWhoCanUseContent				Allir geta sótt gögn í málbankann, sér að kostnaðarlausu, og krefst það yfirleitt ekki innskráningar. Þeir sem vilja hins vegar leggja gögn inn í Málbankann þurfa að skrá sig inn á varðveislusvæðið og hafa samband við starfsmenn Málbankans áður en þeir geta sett inn gögn í fyrsta sinn.	Allir geta sótt gögn í málbankann, sér að kostnaðarlausu, og krefst það yfirleitt ekki innskráningar. Þeir sem vilja hins vegar <a href='/is/afhending'>leggja gögn inn</a> í Málbankann þurfa að skrá sig inn á varðveislusvæðið og hafa samband við starfsmenn Málbankans áður en þeir geta sett inn gögn í fyrsta sinn.	
aboutClarinTitle				Málbankinn og CLARIN	Málbankinn og CLARIN	
aboutClarinContent				Íslenski málabankinn er vottuð CLARIN-þjónustumiðstöð og er rekin af Árnastofnun sem er ein af átta stofnunum sem mynda landshóp CLARIN á Íslandi (CLARIN-IS). CLARIN-IS er hluti af CLARIN ERIC sem er rannsóknarinnviðaverkefni á vegum Evrópusambandsins sem hefur það að markmiði að gera öll stafræn málföng og búnað frá allri Evrópu (og víðar) aðgengileg með einni innskráningu, til nota í rannsóknum í hug- og félagsvísindum og innan máltækni. Auk þess að veita aðgang að málföngum þá tekur CLARIN-IS einnig við gögnum frá þeim fræðimönnum sem vilja hýsa og veita aðgang að sínum gögn sín á varðveislusvæði CLARIN.	Íslenski málabankinn er vottuð CLARIN-þjónustumiðstöð og er rekin af Árnastofnun sem er ein af átta stofnunum sem mynda <span class='clickable-text' data-key='landshopur'>landshóp CLARIN á Íslandi</span> (CLARIN-IS). CLARIN-IS er hluti af <a href='https://clarin.eu' target='_blank'>CLARIN ERIC</a> sem er rannsóknarinnviðaverkefni á vegum Evrópusambandsins sem hefur það að markmiði að gera öll stafræn málföng og búnað frá allri Evrópu (og víðar)  aðgengileg með einni innskráningu, til nota í rannsóknum í hug- og félagsvísindum og innan máltækni. Auk þess að veita aðgang að málföngum þá tekur CLARIN-IS einnig við gögnum frá þeim fræðimönnum sem vilja hýsa og veita aðgang að sínum gögn sín á varðveislusvæði CLARIN.	
humanitiesTitle				Málföng til rannsókna í hug- og félagsvísindum	Málföng til rannsókna í hug- og félagsvísindum	
humanitiesContent				Málföng vísa til bæði málgagna og verkfæra sem hægt er að nota til að rannsaka og greina gögnin. Dæmi um gögn eru hrá textasöfn, markaðar málheildir eða orðalistar en verkfærin geta verið af ýmsum toga, allt frá einföldum tilreiðarar sem skiptir texta upp í setningar, orð og greinarmerki yfir í verkfærapakka eins og Voyant sem býður upp á margvíslegan fjarlestur á texta.	Málföng vísa til bæði málgagna og verkfæra sem hægt er að nota til að rannsaka og greina gögnin. Dæmi um gögn eru hrá textasöfn, markaðar málheildir eða orðalistar en verkfærin geta verið af ýmsum toga, allt frá einföldum tilreiðarar sem skiptir texta upp í setningar, orð og greinarmerki yfir í verkfærapakka eins og Voyant sem býður upp á margvíslegan fjarlestur á texta.	
humanitiesDataTitle				Málheildir til rannsókna í vísindum.	Málheildir til rannsókna í vísindum.	
humanitiesDataContent				Málbankinn hefur að geyma ýmsar málheildir sem bjóða upp á rannsóknir á sviði hug- og félagsvísinda, allt frá textum fornrita til samtímatexta. Málheildirnar er hægt að sækja en einnig eru þær flestar gerðar leitarbærar á málheildarvef okkar.	Málbankinn hefur að geyma ýmsar málheildir sem bjóða upp á rannsóknir á sviði hug- og félagsvísinda, allt frá textum fornrita til samtímatexta. Málheildirnar er hægt að sækja en einnig eru þær flestar gerðar leitarbærar á málheildarvef okkar.	
humanitiesToolsTitle				Hagnýt tól til rannsókna	Hagnýt tól til rannsókna	
humanitiesToolsContent				Málbankinn býður upp á nokkra vefi þar sem hægt er að leita í og greina texta málheilda og málvinnsluvef til að forvinna texta.	Málbankinn býður upp á nokkra vefi þar sem hægt er að leita í og greina texta málheilda og málvinnsluvef til að forvinna texta.	
headerHome				Heim	Heim	Home
headerAbout				Um	Um	About
headerNews				Fréttir	Fréttir	News
headerSearch				Leit	Leit	Search
headerResources				Málföng	Málföng	Resources
headerCorpora				Málheildir	Málheildir	Corpora
headerTools				Grunnverkfæri	Grunnverkfæri	Foundational tools
headerLTSolutions				Máltæknilausnir	Máltæknilausnir	LT Solutions
headerLexicons				Orðalistar	Orðalistar	Lexicons
headerSubmissions				Innlögn	Innlögn	Submissions
searchDescription				Leitarvélin leitar í flestum þeim gögnum sem finna má á varðveislusvæði Málbankans og GitHub-síðu sem sett var upp í tengslum við máltækniáætlun stjórnvalda. Á varðveislusvæðinu er boðið upp á mun öflugri leit og síun en hér hafa gögn verið flokkuð saman til að einfalda yfirsýn.	Leitarvélin leitar í flestum þeim gögnum sem finna má á <a class='blue-text-link' href='https://repository.clarin.is' target='_blank'>varðveislusvæði Málbankans</a> og <a class='blue-text-link' href='https://github.com/icelandic-lt/' target='_blank'>GitHub-síðu</a> sem sett var upp í tengslum við máltækniáætlun stjórnvalda. Á varðveislusvæðinu er boðið upp á mun öflugri leit og síun en hér hafa gögn verið flokkuð saman til að einfalda yfirsýn.	
searchShowDetailedSearch				Ítarleit	Ítarleit	Detailed search
searchShowSimpleSearch				Ítarleit	Ítarleit	Simple search
searchShowDetailedSearchMobile				Ítarleit	Ítarleit	Detailed
searchShowSimpledSearchMobile				Ítarleit	Ítarleit	Simple
searchShowAll				Sýna allt	Sýna allt	Show all
searchHideAll				Fela allt	Fela allt	Hide all
searchSearch				Leita	Leita	Search
searchType				Gerð	Gerð	Type
searchSubType				Undirgerð	Undirgerð	Sub-type
searchClearSearch				Hreinsa leit	Hreinsa leit	Clear search
searchLabelTools				Tól	Tól	Tools
searchLabelData				Gögn	Gögn	Data
searchLabelModels				Líkön	Líkön	Models
searchLanguage				Tungumál	Tungumál	Language
searchLabelIcelandic				Íslenska	Íslenska	Icelandic
searchLabelEnglish				Enska	Enska	English
searchLabelPolish				Pólska	Pólska	Polish
footerAMI				Stofnun Árna Magnússonar í íslenskum fræðum	Stofnun Árna Magnússonar í íslenskum fræðum	The Árni Magnússon Institute for Icelandic Studies
formatsInfoTitle				Sniðmát	Sniðmát	Format
formatsInfoDescription				Mismunandi sniðmát henta fyrir mismunandi gerðir gagna. Oft koma fleiri en eitt til greina - t.d. er hægt að vista texta á mismunandi sniði (.doc, .txt, .xml ...). Í hverri fræðigrein og í hverju landi skapast oft hefðir um hvernig gögn eru vistuð og rannsóknarverkfæri sem búin hafa verið til gera þá oft ráð fyrir ákveðnu sniðmáti. Því er mikilvægt, til að auka líkur á því að gögnin verði notuð, að þau séu vistuð á viðurkenndu sniðmáti. Hver CLARIN-þjónustumiðstöð gefur út lista yfir þau sniðmát sem hún samþykkir inn á sitt varðveislusvæði. Hér að neðan má sjá lista yfir þau sniðmát sem Málbankinn samþykkir.	Mismunandi sniðmát henta fyrir mismunandi gerðir gagna. Oft koma fleiri en eitt til greina - t.d. er hægt að vista texta á mismunandi sniði (.doc, .txt, .xml ...). Í hverri fræðigrein og í hverju landi skapast oft hefðir um hvernig gögn eru vistuð og rannsóknarverkfæri sem búin hafa verið til gera þá oft ráð fyrir ákveðnu sniðmáti. Því er mikilvægt, til að auka líkur á því að gögnin verði notuð, að þau séu vistuð á viðurkenndu sniðmáti. Hver CLARIN-þjónustumiðstöð gefur út <a class='blue-text-link' href='https://standards.clarin.eu/sis/' target='_blank'>lista yfir þau sniðmát</a> sem hún samþykkir inn á sitt varðveislusvæði. Hér að neðan má sjá lista yfir þau sniðmát sem Málbankinn samþykkir.	
itemsContainerRepository				Varðveislusvæði	Varðveislusvæði	Repository
itemsContainerSearchSite				Leitarsíða	Leitarsíða	Query
itemsContainerMoreInfo				Nánari upplýsingar	Nánari upplýsingar	Further information
maltaekniaetlunTitle				Máltækniáætlun	Máltækniáætlun	Language Technology Programme
maletaekniaetlunBeginningTitle				Upphaf	Upphaf	The beginning
maletaekniaetlunBeginningContent				Fyrsta hluta máltækniáætlunar stjórnvalda var hleypt úr vör árið 2019 og stóð til 2022. Áætlunin byggði á skýrslunni Máltækni fyrir íslensku 2018-2022 sem Anna Nikulásdóttir, Jón Guðnason og Steinþór Steingrímsson stóðu að. Þar var lögð áhersla á söfnun og vinnslu gagna og gerð stoðtóla sem nýtast á öllum sviðum máltækni auk þess að leggja áherslu á vélræna þýðingu, málrýni, talgreiningu og talgervingu.	Fyrsta hluta máltækniáætlunar stjórnvalda var hleypt úr vör árið 2019 og stóð til 2022. Áætlunin byggði á skýrslunni <a href='/public/media/uploads/maltaekniaaetlun.pdf' target='_blank'>Máltækni fyrir íslensku 2018-2022</a> sem Anna Nikulásdóttir, Jón Guðnason og Steinþór Steingrímsson stóðu að. Þar var lögð áhersla á söfnun og vinnslu gagna og gerð stoðtóla sem nýtast á öllum sviðum máltækni auk þess að leggja áherslu á vélræna þýðingu, málrýni, talgreiningu og talgervingu.	
maltaekniaetlunExecutionTitle				Framkvæmd	Framkvæmd	Execution
maltaekniaetlunExecutionContent				Mennta- og menningarráðuneytið hafði falið Almannarómi að annast framkvæmd áætlunarinnar. Almannarómur gerði samning við rannsóknarhópinn Samstarf um íslenska máltækni (SÍM) um að sinna einstaka verkefnum. Í SÍM voru níu fyrirtæki og stofnanir með sérþekkingu á sviði málvísinda og máltækni, en það eru Háskóli Íslands, Háskólinn í Reykjavík, Stofnun Árna Magnússonar í íslenskum fræðum, Blindrafélagið, Ríkisútvarpið, Creditinfo Fjölmiðlavaktin ehf., Gammatek ehf., Miðeind ehf. og Tiro ehf. Í samningnum var kveðið á um að allar afurðir máltækniáætlunar færu inn á varðveislusvæði CLARIN-IS.	Mennta- og menningarráðuneytið hafði falið Almannarómi að annast framkvæmd áætlunarinnar. Almannarómur gerði samning við rannsóknarhópinn Samstarf um íslenska máltækni (SÍM) um að sinna einstaka verkefnum. Í SÍM voru níu fyrirtæki og stofnanir með sérþekkingu á sviði málvísinda og máltækni, en það eru Háskóli Íslands, Háskólinn í Reykjavík, Stofnun Árna Magnússonar í íslenskum fræðum, Blindrafélagið, Ríkisútvarpið, Creditinfo Fjölmiðlavaktin ehf., Gammatek ehf., Miðeind ehf. og Tiro ehf. Í samningnum var kveðið á um að allar afurðir máltækniáætlunar færu inn á varðveislusvæði CLARIN-IS.	
maltaekniaetlunMilestonesTitle				Vörður	Vörður	Milestones
maltaekniaetlunMilestonesContent				SÍM-hópurinn skilaði Almannarómi vörðuskýrslum reglulega á samningstímanum. Óháð fagráð, sem skipað var erlendum sérfræðingum í máltækni, rýndi vörðuskýrslurnar og skilaði að því loknu úttekt til Almannaróms. Í skýrslunum var farið yfir framgang verkefna máltækniáætlunar og hann borinn saman við mælanleg markmið samnings Almannaróms og SÍM. Hér að neðan er að finna tengla á vörðuskýrslur SÍM. Vörður eitt og tvö eru skýrslur um stöðu verkefna í máltækniáætluninni, en þær voru unnar af Almannarómi. Vörður þrjú og fimm eru skýrslur um stöðu verkefna í máltækniáætluninni, en þær voru unnar af SÍM.	SÍM-hópurinn skilaði Almannarómi vörðuskýrslum reglulega á samningstímanum. Óháð fagráð, sem skipað var erlendum sérfræðingum í máltækni, rýndi vörðuskýrslurnar og skilaði að því loknu úttekt til Almannaróms. Í skýrslunum var farið yfir framgang verkefna máltækniáætlunar og hann borinn saman við mælanleg markmið samnings Almannaróms og SÍM. Hér að neðan er að finna tengla á vörðuskýrslur SÍM. Vörður eitt og tvö eru skýrslur um stöðu verkefna í máltækniáætluninni, en þær voru unnar af Almannarómi. Vörður þrjú og fimm eru skýrslur um stöðu verkefna í máltækniáætluninni, en þær voru unnar af SÍM.	
maltaekniaetlunMilestone1				Varða 1, skýrsla í fullri lengd: 9. febrúar 2020	Varða 1, skýrsla í fullri lengd: 9. febrúar 2020	
maltaekniaetlunMilestone2				Varða 2, yfirlit: 1. júní 2020	Varða 2, yfirlit: 1. júní 2020	
maltaekniaetlunMilestone4				Varða 4, skýrsla í fullri lengd: 1. febrúar 2021	Varða 4, skýrsla í fullri lengd: 1. febrúar 2021	
maltaekniaetlunMilestone6				Varða 6, skýrsla í fullri lengd: 1. október 2021	Varða 6, skýrsla í fullri lengd: 1. október 2021	
maltaekniaetlunMilestone7				Varða 7, skýrsla í fullri lengd: 1. febrúar 2022	Varða 7, skýrsla í fullri lengd: 1. febrúar 2022	
maltaekniaetlunMilestone8				Varða 8, samantekt kynningarfundar fyrir menningar- og viðskiptaráðuneytið: 10. júní 2022	Varða 8, samantekt kynningarfundar fyrir menningar- og viðskiptaráðuneytið: 10. júní 2022	
maltaekniaetlunMilestone9				Varða 9, lokaskýrsla í fullri lengd: 1. október 2022	Varða 9, lokaskýrsla í fullri lengd: 1. október 2022	
scholarOfTheMonthOtherScholarsTitle				Aðrir fræðimenn mánaðarins	Aðrir fræðimenn mánaðarins	Other Scholars of the Month
scholarsOfTheMonthTitle				Fræðimenn mánaðarins	Fræðimenn mánaðarins	Scholars of the Month
scholarOfTheMonth				Fræðimaður mánaðarins	Fræðimaður mánaðarins	Scholar of the Month
seeMore				Nánar	Nánar	See more
seeAllScholars				Sjá alla	Sjá alla	See all
