namsefni	categories	items	Introduction to Digital Humanities	 Námskeiðinu er ætlað að kynna stafræn hugvísindi og lýsa ýmsum þáttum stafrænnar efnisvinnslu. 	<p>Námskeiðinu er ætlað að kynna stafræn hugvísindi og lýsa ýmsum þáttum stafrænnar efnisvinnslu.</p>	<p>The aim of the course is to introduce digital humanities and to describe various aspects of digital content processing.</p>
namsefni	categories	items	Linguistic Linked Open Data for Humanists	 Kynning á gerð, útgáfu og notkun tengdra opinna gagna fyrir alla sem vilja vinna með málleg gagnasöfn - svo sem orðasöfn og málheildir - og sérstaklega fyrir þá sem eru með bakgrunn í málvísindum eða hugvísindum. 	<p>Kynning á gerð, útgáfu og notkun tengdra opinna gagna fyrir alla sem vilja vinna með málleg gagnasöfn - svo sem orðasöfn og málheildir - og sérstaklega fyrir þá sem eru með bakgrunn í málvísindum eða hugvísindum.</p>	<p>An introduction to the creation, publication, and use of linked open data for anyone who wants to work with linguistic datasets - such as lexicons and corpora – and especially for those who come from a linguistic or humanist background.</p>
namsefni	categories	items	Natural Language Processing Methods	 Námsefnið inniheldur kynningu á lykilhugtökum og aðferðum málvinnslu og verkefni í til að mynda lemmun, mörkun og nafnakennslum með notkun á viðurkenndum CLARIN-verkfærum. 	<p>Námsefnið inniheldur kynningu á lykilhugtökum og aðferðum málvinnslu og verkefni í til að mynda lemmun, mörkun og nafnakennslum með notkun á viðurkenndum CLARIN-verkfærum.</p>	<p>An introduction to the key concepts and techniques of NLP and hands-on activities on some NLP tasks, such as lemmatization, part-of-speech tagging and named entity recognition using CLARIN- tools. </p>
namsefni	categories	items	Privacy by Design in Research	 Markmiðið með þessu kennsluefni er að sýna hvernig á að framkvæma mat á áhrifum á persónuvernd við rannsóknir til að gera ábyrga endurnotkun á talmálheild mögulega. 	<p>Markmiðið með þessu kennsluefni er að sýna hvernig á að framkvæma mat á áhrifum á persónuvernd við rannsóknir til að gera ábyrga endurnotkun á talmálheild mögulega.</p>	<p>The aim of this training material is to show researchers how to perform a data protection impact assessment for an innovative research scenario to enable responsible re-use of archived speech corpora.</p>
namsefni	categories	description	Teaching material from the UPSKILLS project	 Aðalmarkmið UPSKILLS-verkefnisins var að brúa bilið milli háskólamenntunar og þeirrar hæfni sem krafist er á vinnumarkaði nútímans, sérstaklega á sviði málvísinda og tungumálatengdrar fræða. Einn hluti verkefnisins fólst í því að búa til nýtt námsefni sem háskólakennarar geta sótt í. 	<p>Aðalmarkmið <a href='https://upskillsproject.eu/' target='_blank'>UPSKILLS-verkefnisins</a> var að brúa bilið milli háskólamenntunar og þeirrar hæfni sem krafist er á vinnumarkaði nútímans, sérstaklega á sviði málvísinda og tungumálatengdrar fræða. Einn hluti verkefnisins fólst í því að búa til nýtt námsefni sem háskólakennarar geta sótt í.</p>	<p></p>
namsefni	categories	items	A glimpse into language data science	 Þessi námseining er helguð tungumálafræði sem er hugsuð sem tölfræðileg greining á gögnum um tungumál. 	<p>Þessi námseining er helguð tungumálafræði sem er hugsuð sem tölfræðileg greining á gögnum um tungumál.</p>	<p>This learning block is dedicated to language data science intended as statistical analysis of data about language.</p>
namsefni	categories	items	Automatic speech recognition and forced alignment	 Þessi námseining miðar að því að brúa bilið milli nemenda með tungumálabakgrunn og talgreiningar. 	<p>Þessi námseining miðar að því að brúa bilið milli nemenda með tungumálabakgrunn og talgreiningar.</p>	<p>This learning block aims to make a bridge between students with a linguistic background and Automatic Speech Recognition as a technical topic. </p>
namsefni	categories	items	Collecting language data from human participants	 Í þessum námsvöndli er lögð áhersla á að safna málgögnum frá þátttakendum og er honum skipt upp í fjórar einingar, auk tveggja nemendaverkefna. 	<p>Í þessum námsvöndli er lögð áhersla á að safna málgögnum frá þátttakendum og er honum skipt upp í fjórar einingar, auk tveggja nemendaverkefna.</p>	<p>This learning block is focused on collecting language data from human participants and is structured into four modules, complemented by two student projects. </p>
namsefni	categories	items	Introduction to language data: Standards and repositories	 Safn kennsluefnis og hugmyndir að viðfangsefnum sem kennarar geta nýtt sér í kennslustofunni til að kynna nemendum varðveislusvæði rannsóknargagna og hlutverk þeirra í rannsóknum á tungumálinu. 	<p>Safn kennsluefnis og hugmyndir að viðfangsefnum sem kennarar geta nýtt sér í kennslustofunni til að kynna nemendum varðveislusvæði rannsóknargagna og hlutverk þeirra í rannsóknum á tungumálinu.</p>	<p>A pool of learning resources and activities that teachers can use in the classroom to introduce students to research data repositories and their role in the linguistic research data lifecycle in the context of Open Science and FAIR data principles.</p>
namsefni	categories	items	Start programming with Python in 10 steps	 Leiðarvísir um hvernig á að byrja að forrita með Python fyrir nemendur í tungumálum eða málvísindum sem hafa hug á að leggja stund á tækni og vísindi 	<p>Leiðarvísir um hvernig á að byrja að forrita með Python fyrir nemendur í tungumálum eða málvísindum sem hafa hug á að leggja stund á tækni og vísindi</p>	<p>This learning block is a guide on how to start programming with Python for students of language or linguistics considering a career in technology and science.</p>
namsefni	categories	items	Processing texts and corpora	 Þessi námsvöndull kynnir grundvallarhugmyndir og tækni í tengslum við textavinnslu með áherslu á gagnamálfræði (e. corpus linguistics), svo sem gerð og umsýsla málheilda og notkun málheildarfyrirspurnatóla fyrir einfaldar og flóknari fyrirspurnir. 	<p>Þessi námsvöndull kynnir grundvallarhugmyndir og tækni í tengslum við textavinnslu með áherslu á gagnamálfræði (e. corpus linguistics), svo sem gerð og umsýsla málheilda og notkun málheildarfyrirspurnatóla fyrir einfaldar og flóknari fyrirspurnir.</p>	<p>This learning block puts together basic notions and techniques of text processing with skills related to corpus linguistics, such as corpus creation and management and the ability to use corpus query tools for simple and advanced queries. </p>
namsefni	categories	items	The essence of machine learning for linguists in tech	 Leiðarvísir um hvernig á að öðlast grunnfærni og þekkingu á vélnámi sem eru nauðsynlegar fyrir tungumála- eða málvísindanemendur sem ætla að vinna með verkfræðingum og vísindamönnum. 	<p>Leiðarvísir um hvernig á að öðlast grunnfærni og þekkingu á vélnámi sem eru nauðsynlegar fyrir tungumála- eða málvísindanemendur sem ætla að vinna með verkfræðingum og vísindamönnum.</p>	<p>This learning block is a guide on how to acquire the core set of notions in machine learning that are necessary for students of language or linguists who plan to work with engineers and scientists.</p>
